text,code
The best way to cheer yourself is to try to cheer someone else up,Green
Happiness makes up in height for what it lacks in length,Green
I’d far rather be happy than right any day,Green
With mirth and laughter let old wrinkles come,Green
I’ve got nothing to do today but smile,Green
"Happiness is not the absence of problems, it’s the ability to deal with them",Green
I must learn to be content with being happier than I deserve,Green
"Be believing, be happy, don’t get discouraged. Things will work out",Green
Under the weather,Yellow
Right as rain,Yellow
Take a rain check,Yellow
Head in the clouds,Yellow
Every cloud has a silver lining,Yellow
The calm before the storm,Yellow
"Red sky at night, sailor’s delight",Yellow
Rainbow in the morning gives you fair warning,Yellow
"When dew is on the grass, rain will never come to pass",Yellow
Mares’ tails and mackerel scales make tall ships take in their sails,Yellow
Dog days of summer,Yellow
It’s raining cats and dogs,Yellow
Afraid of thunderstorms?,Yellow
Like to dance in the rain?,Yellow
Find lightning beautiful?,Yellow
"Every year, storms roll across our cities—rain storms, snow storms, hail storms, etc.",Yellow
So what’s the weather like in your city today?,Yellow
"We’ll be talking about terms you need to describe those sunny days, stormy days, and all those in between.",Yellow
"When the weather is warm, I prefer light clothing like t-shirts.",Yellow
Today is so hot that I’ve been sitting under the fan all day.,Yellow
"On cool days like today, you should be fine with a light jacket.",Yellow
Don’t forget your coat; it’s cold outside.,Yellow
"On sunny days, I like to take the kids to the beach.",Yellow
Rainy days are the best time to stay home and read a book.,Yellow
Isn’t it great that we’re having such clear days this week?,Yellow
It looks cloudy; you should bring an umbrella in case it rains.,Yellow
Bush fires are common around here when the weather is dry.,Yellow
The weather’s been so humid lately it’s impossible to go outside without breaking a sweat.,Yellow
Be sure to turn on your headlights when driving through foggy areas.,Yellow
It’s misty up in the mountains in the mornings.,Yellow
It’s been gusty all afternoon and my umbrella was blown away.,Yellow
"As we were walking along the beach, it started to get windy.",Yellow
"Whenever there’s thunder and lightning, my dog rushes into the house in fear.",Yellow
It’s around 40°.,Yellow
It’s warm and windy outside.,Yellow
There’s nothing but blue skies outside.,Yellow
We couldn’t ask for nicer weather this week!,Yellow
This is the most beautiful weather we’ve had all week!,Yellow
This is the worst weather we’ve had all spring! ,Yellow
"Nasty weather today, isn’t it? ",Yellow
Heavy rain seems to be heading this way.,Yellow
The weather will be cooling down soon.,Yellow
"Even if you never have the chance to see or touch the ocean, the ocean touches you with every breath you take, every drop of water you drink, every bite you consume. Everyone everywhere is inextricably connected to and utterly dependent upon the existence of the sea.",Yellow
"If you really think that the environment is less important than the economy, try holding your breath while you count your money",Yellow
"The world will not be destroyed by those who do evil, but by those who watch them without doing anything",Yellow
One of the biggest obstacles to making a start on climate change is that it has become a cliché before it has even been understood,Yellow
"Twenty-five years ago, people could be excused for not knowing much, or doing much, about climate change. Today we have no excuse",Yellow
"Climate change is the environmental challenge of this generation, and it is imperative that we act before it’s too late",Yellow
"Saving our planet, lifting people out of poverty, advancing economic growth… these are one and the same fight. We must connect the dots between climate change, water scarcity, energy shortages, global health, food security, and women’s empowerment. Solutions to one problem must be solutions for all",Yellow
We do not inherit the earth from our ancestors. We borrow it from our children,Yellow
"We are the first generation to feel the sting of climate change, and we are the last generation that can do something about it",Yellow
"All things share the same breath – the beast, the tree, the man. The air shares its spirit with all the life it supports",Yellow
"We must face up to an inescapable reality: the challenges of sustainability simply overwhelm the adequacy of our responses. With some honorable exceptions, our responses are too few, too little, and too late",Yellow
"Climate change is happening, humans are causing it, and I think this is perhaps the most serious environmental issue facing us",Yellow
"Climate change is sometimes misunderstood as being about changes in the weather. In reality, it is about changes in our very way of life",Yellow
"A nation that destroys its soils destroys itself. Forests are the lungs of our land, purifying the air and giving fresh strength to our people",Yellow
"Climate change does not respect border; it does not respect who you are – rich and poor, small and big. Therefore, this is what we call ‘global challenges,’ which require global solidarity",Yellow
"Wind and other clean, renewable energy will help end our reliance on fossil fuels and combat the severe threat that climate change poses to humans and wildlife alike",Yellow
"If we pollute the air, water and soil that keep us alive and well, and destroy the biodiversity that allows natural systems to function, no amount of money will save us",Yellow
We can be thankful President Barack Obama is taking aim at one of the prime causes of climate change and extreme weather: air pollution. The EPA’s carbon pollution standards are the most significant step forward our country has ever taken to protect our health by addressing climate change,Yellow
"The cost of our success is the exhaustion of natural resources, leading to energy crises, climate change, pollution, and the destruction of our habitat. If you exhaust natural resources, there will be nothing left for your children. If we continue in the same direction, humankind is headed for some frightful ordeals, if not extinction",Yellow
"Climate change, in some regions, has aggravated conflict over scarce land, and could well trigger large-scale migration in the decades ahead. And rising sea levels put at risk the very survival of all small island states. These and other implications for peace and security have implications for the United Nations itself",Yellow
"When all the world appears to be in a tumult, and nature itself is feeling the assault of climate change, the seasons retain their essential rhythm. Yes, fall gives us a premonition of winter, but then, winter will be forced to relent, once again, to the new beginnings of soft greens, longer light, and the sweet air of spring",Yellow
"If you don’t act against climate change, then no matter how much money you leave for your children, it’ll not even cover their healthcare bills, due to living in an unhealthy planet",Yellow
"I have long understood that climate change is not only an environmental issue – it is a humanitarian, economic, health, and justice issue as well",Yellow
"As human beings, we are vulnerable to confusing the unprecedented with the improbable. In our everyday experience, if something has never happened before, we are generally safe in assuming it is not going to happen in the future, but the exceptions can kill you, and climate change is one of those exceptions",Yellow
"Climate change is a global problem. The planet is warming because of the growing level of greenhouse gas emissions from human activity. If this trend continues, truly catastrophic consequences are likely to ensue from rising sea levels to reduced water availability, to more heat waves and fires",Yellow
There is no question that climate change is happening; the only arguable point is what part humans are playing in it,Yellow
"The shift to a cleaner energy economy won’t happen overnight, and it will require tough choices along the way. But the debate is settled. Climate change is a fact",Yellow
"The world that you and I live in is increasingly challenged. Population growth, pollution, over-consumption, unsustainable patterns, social conflict, climate change, loss of nature… these are not good stories",Yellow
Climate change is destroying our path to sustainability. Ours is a world of looming challenges and increasingly limited resources. Sustainable development offers the best chance to adjust our course,Yellow
"Anybody who doesn’t see the impact of climate change is really, and I would say, myopic. They don’t see the reality. It’s so evident that we are destroying Mother Earth. This is not the problem of one country or a few countries: it is the problem of mankind. We need to work together to stop this. Otherwise, our future generations will simply disappear",Yellow
The warnings about global warming have been extremely clear for a long time. We are facing a global climate crisis. It is deepening. We are entering a period of consequences,Yellow
"We are all living together on a single planet, which is threatened by our own actions. And if you don’t have some kind of global cooperation, nationalism is just not on the right level to tackle the problems, whether it’s climate change or whether it’s technological disruption",Yellow
"The clear and present danger of climate change means we cannot burn our way to prosperity. We already rely too heavily on fossil fuels and we need to find a new, sustainable path to the future we want. We need a clean industrial revolution",Yellow
"Climate change, if unchecked, is an urgent threat to health, food supplies, biodiversity, and livelihoods across the globe",Yellow
Climate change is a result of the greatest market failure the world has seen We risk damages on a scale larger than the two world wars of the last century,Yellow
"By the time we see that climate change is really bad, your ability to fix it is extremely limited… The carbon gets up there, but the heating effect is delayed. And then the effect of that heat on the species and ecosystem is delayed. That means that even when you turn virtuous, things are actually going to get worse for quite a while",Yellow
"I play fictitious characters often solving fictitious problems. I believe mankind has looked at climate change in the same way, as if it were fiction",Yellow
"We can’t take climate change and put it on the back burner. If we don’t address climate change, we won’t be around as humans",Yellow
"We cannot compromise with the earth; we cannot compromise with the catastrophe of unchecked climate change, so we must compromise with one another",Yellow
"To put it in more shocking terms, it doesn’t matter if the skeptics are right or not, because the assumptions on which the debate is based are already enough to doom us to a dystopian future",Yellow
"The general population doesn’t know what’s happening, and it doesn’t even know that it doesn’t know",Yellow
The Earth is a fine place and worth fighting for,Yellow
We are living on this planet as if we had another one to go to,Yellow
"I’d be stunned, shocked, and amazed if there were a human being on the planet in 2030",Yellow
The Earth should not be a worse place after my life than it was when I was born here,Yellow
"God gave us the earth, to till and to keep in a balanced and respectful way",Yellow
"Climate change is the most severe problem that we are facing today, more serious even than the threat of terrorism",Yellow
A planet being pushed to the edge will eventually turn on us,Yellow
The planet will continue to cook,Yellow
Climatism is the belief that man-made greenhouse gases are destroying Earth’s climate,Yellow
"The facts are there that we have created, man has, a self-inflicted wound that man has created through global warming",Yellow
"We are running out of time, and we must have a planetary solution to a planetary crisis",Yellow
The future will be green or not at all,Yellow
"There is no such thing as ‘away’. So, when we throw anything away, it must go somewhere",Yellow
A pitched battle,Red
A straight fight,Red
Action Jackson ,Red
Action Man ,Red
Action Man ,Red
Action packed,Red
Action painting,Red
Action plan,Red
Action replay,Red
Action stations,Red
Admit defeat,Red
Affirmative action,Red
Alamo City ,Red
All out war,Red
All's fair in love and war,Red
Amped up ,Red
An uphill battle,Red
Argue the toss,Red
Armageddon out of here,Red
Armed struggle,Red
Art Of War ,Red
Art of war,Red
Articles of war,Red
Assault with a deadly weapon,Red
Attack is the best form of defence,Red
Attack of the Clones ,Red
Battle of the sexes,Red
Battle of wits,Red
Battle ready,Red
Battle royal ,Red
Battle stations,Red
Beat a hasty retreat ,Red
Beat the retreat,Red
Beat your brains out,Red
Beauty contest ,Red
Beauty parade ,Red
Between the wars ,Red
Black and white unite and fight ,Red
Breast is best ,Red
Call to action,Red
Cannon fodder,Red
Carry into action,Red
Charge of the Light Brigade ,Red
Clash of civilizations,Red
Clash of culture,Red
Clash of the titans,Red
Class warfare,Red
Clunk click every trip ,Red
Combat fatigue,Red
Combat ready,Red
Come out fighting,Red
Come out swinging,Red
Conflict of interest,Red
Conflict resolution,Red
Crushing defeat,Red
Cry havoc and let slip the dogs of war ,Red
Denial of service attack,Red
Divide and conquer,Red
Dog eat dog,Red
Don't mention the war ,Red
Don't you know there's a war on? ,Red
Eye up the competition,Red
Fight Club ,Red
Fight For The Right To Party ,Red
Fight back,Red
Fight back the tears,Red
Fight fire with fire,Red
Fight like a man,Red
Fight like cat and dog,Red
Fight off,Red
Fight or flight,Red
Fight shy,Red
Fight the good fight,Red
Fight the power,Red
Fight tooth and nail,Red
Fog of war,Red
For every action there is an equal and opposite reaction,Red
Front line,Red
Gang warfare,Red
"Gentlemen, you can't fight in here! This is the War Room ",Red
Germ warfare,Red
Get ready to rumble ,Red
Go to war,Red
Guerrilla warfare,Red
Had a good war ,Red
Half the battle,Red
Hand-to-gland combat ,Red
"He who fights and runs away, may live to fight another day",Red
Heart attack on a plate,Red
Heart attack waiting to happen,Red
How goes the battle?,Red
I want YOU for the US Army ,Red
"If you vote for Goldwater, you'll get a war in Vietnam ",Red
In the heat of battle,Red
Industrial action,Red
Keep the field ,Red
La Belle Epoque ,Red
Let battle commence,Red
Life and death struggle,Red
"Lights, camera, action",Red
Line of attack,Red
Live action,Red
Live to fight another day,Red
Lock horns with,Red
London Calling,Red
Loose lips sink ships ,Red
Love is a battlefield,Red
Make love not war,Red
Make war,Red
Masters Of War ,Red
Meet your Waterloo,Red
Missing in action,Red
No contest,Red
Open warfare ,Red
Out of action,Red
Pick a fight,Red
Piece of the action ,Red
Pillow fight,Red
Pissing contest,Red
Pit your wits against,Red
Pontiac: Designed for Action ,Red
Ready and waiting ,Red
Recent unpleasantness,Red
Richard of York gave battle in vain,Red
Running battle,Red
Serious as a heart attack,Red
She Stoops to Conquer ,Red
Shooting war,Red
Slice of the action,Red
Slug it out,Red
Snack attack,Red
Snatching defeat from the jaws of victory,Red
Snatching victory from the jaws of defeat,Red
Spoiling for a fight,Red
Spoils of war,Red
Spring into action,Red
Stand up fight,Red
Stand-by for action,Red
"Stop, Look and Listen; remember the Green Cross Code ",Red
Take it to the mattresses,Red
Take the field ,Red
The Alamo ,Red
The Battle of Waterloo was won on the playing-fields of Eton,Red
The Cold War,Red
The Last Action Hero ,Red
The War Of The Roses ,Red
The battle of the bulge,Red
The fog of war ,Red
The fortunes of war,Red
The gloves are off,Red
The mother of all battles,Red
"The race is not to the swift, nor the battle to the strong ",Red
The war to end wars,Red
Throw a beanball ,Red
Tittle tattle lost the battle ,Red
Trench warfare ,Red
Wage war,Red
Walking wounded,Red
War and Peace ,Red
War baby ,Red
War cemetery,Red
War chalking,Red
War criminal ,Red
War debt,Red
War driving,Red
War eagle ,Red
War footing (,Red
War game ,Red
War hero ,Red
War is hell,Red
War movie ,Red
War of nerves,Red
War of words,Red
War paint,Red
War room ,Red
War torn ,Red
War weary ,Red
War widow ,Red
War zone ,Red
We will fight on the beaches,Red
What did you do in the war Daddy?,Red
"When war is declared, truth is the first casualty",Red
You are in a Beauty Contest Every Day of your Life,Red
You can't fight city hall,Red
Follow Me!,Red
Squad Attack Left Flank!,Red
Fall Back!,Red
Squad Stick Together! ,Red
Enemy Spotted! ,Red
Area Secure! ,Red
Sniper! ,Red
On My Way!,Red
angle of attack,Red
attack is the best form of defence,Red
fight fire with fire,Red
under fire,Red
lash out,Red
beat up,Red
jump on,Red
under fire,Red
fall foul,Red
The enemy attack ended at dawn,Red
The enemy attacked from behind,Red
The enemy attacked us at night,Red
We didn't intend to attack him,Red
He planned the attack carefully,Red
The enemy attack ceased at dawn,Red
The terrorists attacked a mosque,Red
Lee's army fought off each attack,Red
They waited for the enemy to attack,Red
"""Lock, stock, and barrel""",Red
"""Faster than a speeding bullet""",Red
"""Pull the trigger""",Red
"""Drop the hammer""",Red
"""In my sights""",Red
"""Lock and load""",Red
"""Get the lead out"" (actually, not sure about this one)",Red
"""Hot as a pistol""",Red
"""Going off half-cocked""",Red
"""On Target""",Red
"""Shoot the Breeze""",Red
"""Rapid Fire""",Red
"""Hit the Mark""",Red
"""Bullet Proof""",Red
"""Loaded""",Red
"""Loose Cannon""",Red
"""Fire in the hole!""",Red
"""Keep your powder dry""",Red
"""Cold enough to freeze the balls off a brass monkey""",Red
"""with guns blazing""",Red
"""shot in the foot""",Red
"""shoot mouth off""",Red
"""shoot first, ask questions later""",Red
"""shot down""",Red
"""shoot out""",Red
"""easier than shooting fish in a barrel""",Red
"""shoot"" in place of a swear word that shares the same constanants but a different vowel.",Red
"""shot glass""",Red
"""shoot from the hip""",Red
"""a shot in the dark""",Red
"""shooting blind""",Red
"""shelling out"" as in paying for something.",Red
"""shot to ..."" swear word mentioned above.",Red
"""taking aim""",Red
"""no one held a gun to your head"" as in not being forced into something.",Red
"""worth a shot""",Red
"""taking out the big guns""",Red
"""overshot"" as in a plane landing past a runway.",Red
"""shooting for gold""",Red
"""aim higher/lower"" as in setting goals.",Red
"""just shoot me now""",Red
"He's a ""Straight Shooter"" ",Red
Bull's Eye,Red
"Just a ""shot in the dark""",Red
"I've got you ""in my sights""",Red
hi ,Green
hello,Green
 hey,Green
 helloo,Green
 hellooo,Green
 g morining,Green
 gmorning,Green
 good morning,Green
 morning,Green
 good day,Green
 good afternoon,Green
 good evening,Green
 greetings,Green
 greeting,Green
 good to see you,Green
 its good seeing you,Green
 how are you,Green
 how're you,Green
 how are you doing,Green
 how ya doin',Green
 how ya doin,Green
 how is everything,Green
 how is everything going,Green
 how's everything going,Green
 how is you,Green
 how's you,Green
 how are things ,Green
 how're things,Green
 how is it going,Green
 how's it going ,Green
 how's it goin',Green
 how's it goin,Green
 how is life been treating you,Green
 how's life been treating you,Green
 how have you been ,Green
 how've you been,Green
 what is up,Green
 what's up,Green
 what is cracking ,Green
 what's cracking,Green
 what is good,Green
 what's good,Green
 what is happening,Green
 what's happening,Green
 what is new ,Green
 what's new ,Green
 what is neww ,Green
 g’day,Green
 howdy,Green
I am fine,Green
My health is fine,Green
I am good,Green
